metric,metric_label,previous_period,current_period,total_abs_variance,total_pct_variance,movement,narrative,excluded_trailing_periods
sales_index,Sales Index,2026-05,2026-06,0.7,0.33,Improvement,"Sales Index increased by 0.7 points (0.3%) period-over-period, an improvement. Flipkart was associated with the largest share of this movement, contributing 33.3% of the total variance. Amazon contributed a further 29.6%.",2026-07
units_index,Units Index,2026-05,2026-06,-0.1,-0.05,Deterioration,"Units Index decreased by 0.1 points (0.1%) period-over-period, a deterioration. Meesho was associated with the largest share of this movement, contributing 33.3% of the total variance. Amazon contributed a further 28.6%.",2026-07
fee_pct_of_gross,Fee % of Gross,2026-05,2026-06,-0.5,-0.67,Improvement,"Fee % of Gross decreased by 0.5 points (0.7%) period-over-period, an improvement. Flipkart was associated with the largest share of this movement, contributing 60.0% of the total variance. Amazon contributed a further 40.0%.",2026-07
refund_pct_of_gross,Refund % of Gross,2026-05,2026-06,-1.2,-5.08,Improvement,"Refund % of Gross decreased by 1.2 points (5.1%) period-over-period, an improvement. Amazon was associated with the largest share of this movement, contributing 39.3% of the total variance. Flipkart contributed a further 32.1%.",2026-07
promotion_pct_of_gross,Promotion % of Gross,2026-05,2026-06,-0.2,-1.0,Improvement,"Promotion % of Gross decreased by 0.2 points (1.0%) period-over-period, an improvement. Website was associated with the largest share of this movement, contributing 50.0% of the total variance. JioMart contributed a further 25.0%.",2026-07
net_to_gross_pct,Net-to-Gross %,2026-05,2026-06,2.1,0.48,Improvement,"Net-to-Gross % increased by 2.1 points (0.5%) period-over-period, an improvement. Amazon was associated with the largest share of this movement, contributing 40.4% of the total variance. Flipkart contributed a further 27.7%.",2026-07
margin_risk_score,Margin Risk Score,2026-05,2026-06,0.1,0.32,Deterioration,"Margin Risk Score increased by 0.1 points (0.3%) period-over-period, a deterioration. Amazon was associated with the largest share of this movement, contributing 33.3% of the total variance. Meesho contributed a further 33.3%.",2026-07
revenue_quality_score,Revenue Quality Score,2026-05,2026-06,-1.2,-0.28,Deterioration,"Revenue Quality Score decreased by 1.2 points (0.3%) period-over-period, a deterioration. Meesho was associated with the largest share of this movement, contributing 35.3% of the total variance. Website contributed a further 32.4%.",2026-07
estimated_profitability_index,Estimated Profitability Index,2026-05,2026-06,2.3,0.65,Improvement,"Estimated Profitability Index increased by 2.3 points (0.7%) period-over-period, an improvement. Amazon was associated with the largest share of this movement, contributing 44.4% of the total variance. Flipkart contributed a further 31.1%.",2026-07
